X,Y,W.S.Elev.,Node #,Ice Concentration,Ice Thickness,Ice Velocity Ui,Vi,Ice Vel. Mag.,Water Vel. Uw,Vw,Ww(=0),Water Vel. Mag.,Water Depth,Froude Number,Water Temperature,Surface Water Temp.,Frazil Conc.,Surface Ice Thickness,Frazil Ice Thickness,Solid Crust Thickness,Anchor Ice Thickness,Undercover Ice Thickness,Bed Elev.,Top of Ice,Bottom of Ice,Border Ice Index,Ice Type
4158476.0,169246.9996,177.7259,1.0,0.6,0.3,0.0,0.0,0.0,-0.09170704,-0.2738767,0.0,0.2888228,22.22591,0.01967783,0.0,0.0,0.0,0.2975625,0.0,0.3,0.0,0.0,155.5,177.7508,177.4508,0.0,0.0
4158569.9209,169215.5504,177.6357,2.0,0.6,0.3,0.0,0.0,0.0,-0.0917035,-0.2738477,0.0,0.2887942,22.13571,0.01972072,0.0,0.0,0.0,0.3139484,0.0,0.3,0.0,0.0,155.5,177.6606,177.3606,0.0,0.0
4158663.8408,169184.0973,177.6478,3.0,0.6,0.3,0.0,0.0,0.0,-0.09782348,-0.2714373,0.0,0.2885267,22.14781,0.01969701,0.0,0.0,0.0,0.3364866,0.0,0.2999999,0.0,0.0,155.5,177.6727,177.3727,0.0,0.0
4158756.188,169148.4215,177.5914,4.0,0.6,0.2999976,0.0,0.0,0.0,-0.1068479,-0.2679633,0.0,0.2884801,22.09137,0.01971928,0.0,0.0,0.0,0.359283,0.0,0.2999975,0.0,0.0,155.5,177.6163,177.3163,0.0,0.0
4158847.7891,169110.7496,177.6662,5.0,0.6,0.2999809,0.0,0.0,0.0,-0.1097545,-0.2668613,0.0,0.2885499,22.16622,0.01968844,0.0,0.0,0.0,0.3485053,0.0,0.2999809,0.0,0.0,155.5,177.6911,177.3911,0.0,0.0
4158939.3911,169073.0738,177.6354,6.0,0.6,0.2999425,0.0,0.0,0.0,-0.1527412,-0.2448871,0.0,0.2886166,22.13541,0.01970674,0.0,0.0,0.0,0.3216043,0.0,0.2999425,0.0,0.0,155.5,177.6603,177.3604,0.0,0.0
4159013.378,169007.4684,177.6523,7.0,0.6,0.2999084,0.0,0.0,0.0,-0.1925142,-0.2150064,0.0,0.2885992,22.1523,0.01969989,0.0,0.0,0.0,0.2926899,0.0,0.2999083,0.0,0.0,155.5,177.6772,177.3773,0.0,0.0
4159086.8482,168941.0426,177.6156,8.0,0.6,0.2999326,0.0,0.0,0.0,-0.2289467,-0.1758163,0.0,0.2886658,22.11556,0.01972102,0.0,0.0,0.0,0.2382997,0.0,0.2999325,0.0,0.0,155.5,177.6405,177.3405,0.0,0.0
4159132.0,168852.9996,177.6995,9.0,0.7957996,0.2999752,0.0,0.0,0.0,-0.2568669,-0.1317313,0.0,0.2886758,22.19953,0.01968122,0.0,0.0,0.0,0.1469496,0.0,0.2999752,0.0,0.0,155.5,177.7244,177.4245,0.0,0.0
4158589.669,169108.0543,177.6513,10.0,0.6,0.2999998,0.0,0.0,0.0,-0.1090075,-0.2706928,0.0,0.2918171,22.15132,0.01991841,0.0,0.0,0.0,0.4559075,0.0,0.2999998,0.0,0.0,155.5,177.6762,177.3762,0.0,0.0
4158498.0572,169149.5387,177.6141,11.0,0.6,0.3000001,0.0,0.0,0.0,0.118939,-0.5441571,0.0,0.557004,22.11407,0.03805156,0.0,0.0,0.0,0.4393928,0.0,0.3,0.0,0.0,155.5,177.639,177.339,0.0,0.0
4158673.0142,169071.4137,177.6753,12.0,0.6,0.2999964,0.0,0.0,0.0,-0.2604035,-0.3107359,0.0,0.4054217,22.17533,0.02765974,0.0,0.0,0.0,0.428886,0.0,0.2999963,0.0,0.0,155.5,177.7002,177.4002,0.0,0.0
4158761.188,169066.2574,177.6621,13.0,0.6,0.2999842,0.0,0.0,0.0,-0.4303838,-0.2190835,0.0,0.4829366,22.16206,0.03295814,0.0,0.0,0.0,0.4006035,0.0,0.2999841,0.0,0.0,155.5,177.687,177.387,0.0,0.0
4158841.2261,169019.7106,177.6291,14.0,0.6,0.2999432,0.0,0.0,0.0,-0.06827034,-0.08033317,0.0,0.1054242,22.12914,0.007199013,0.0,0.0,0.0,0.4020566,0.0,0.2999431,0.0,0.0,155.5,177.654,177.3541,0.0,0.0
4158921.8618,168967.2301,177.6493,15.0,0.6,0.2999129,0.0,0.0,0.0,-0.1083874,-0.442658,0.0,0.4557345,22.14926,0.03111078,0.0,0.0,0.0,0.365301,0.0,0.2999129,0.0,0.0,155.5,177.6741,177.3742,0.0,0.0
4158988.9541,168896.1442,177.6635,16.0,0.6,0.2999292,0.0,0.0,0.0,-0.2118628,-0.2900039,0.0,0.3591492,22.16349,0.02450853,0.0,0.0,0.0,0.3058362,0.0,0.2999291,0.0,0.0,155.5,177.6884,177.3884,0.0,0.0
4159042.1299,168807.6793,177.6116,17.0,0.6,0.2999712,0.0,0.0,0.0,-0.5157076,-0.181394,0.0,0.5466791,22.11156,0.03735084,0.0,0.0,0.0,0.2417157,0.0,0.2999712,0.0,0.0,155.5,177.6365,177.3365,0.0,0.0
4158518.6289,169051.9684,177.6903,18.0,0.6,0.4197179,0.0,0.0,0.0,0.04681752,-0.6979846,0.0,0.699553,22.19026,0.04782655,0.0,0.0,0.0,0.6197176,0.0,0.2999998,0.0,0.0,155.5,177.7251,177.3054,0.0,0.0
4158594.6929,169001.3746,177.6102,19.0,0.6,0.3716729,0.0,0.0,0.0,-0.09045061,-0.5237051,0.0,0.5314587,22.11015,0.03636482,0.0,0.0,0.0,0.5716709,0.0,0.2999972,0.0,0.0,155.5,177.641,177.2693,0.0,0.0
4158664.2652,168958.1832,177.6388,20.0,0.6,0.3062589,0.0,0.0,0.0,-0.1115269,-0.3351128,0.0,0.3531838,22.13882,0.02411779,0.0,0.0,0.0,0.5062492,0.0,0.2999854,0.0,0.0,155.5,177.6642,177.358,0.0,0.0
4158741.2251,168985.5387,177.6109,21.0,0.6,0.2999671,0.0,0.0,0.0,0.1331331,-0.2883023,0.0,0.3175573,22.11092,0.02169486,0.0,0.0,0.0,0.459781,0.0,0.2999669,0.0,0.0,155.5,177.6358,177.3358,0.0,0.0
4158829.8062,168930.0153,177.6814,22.0,0.6,0.299923,0.0,0.0,0.0,-0.1765339,-0.1019722,0.0,0.203869,22.18142,0.01390415,0.0,0.0,0.0,0.4478329,0.0,0.299923,0.0,0.0,155.5,177.7063,177.4064,0.0,0.0
4158894.9131,168862.5973,177.6022,23.0,0.6,0.2999315,0.0,0.0,0.0,-0.5187688,-0.2096484,0.0,0.5595297,22.10225,0.03823511,0.0,0.0,0.0,0.3902833,0.0,0.2999314,0.0,0.0,155.5,177.6271,177.3272,0.0,0.0
4158945.0601,168787.2457,177.6695,24.0,0.6,0.2999656,0.0,0.0,0.0,-0.6852269,-0.1773072,0.0,0.707795,22.16948,0.04829348,0.0,0.0,0.0,0.3403065,0.0,0.2999656,0.0,0.0,155.5,177.6944,177.3944,0.0,0.0
